Vinati Organics,,"₹2,228.3528.80(1.31%)","₹2,185.70","₹22,465",
AIA Engineering,,"₹2,378.90-64.15(2.63%)","₹2,374.85","₹22,399",
Timken India,,"₹2,932.35-58.20(1.95%)","₹2,969.35","₹22,335",
Escorts,,"₹1,641.305.70(0.35%)","₹1,722.20","₹22,314",
Phoenix Mills,,"₹1,300.1519.15(1.49%)","₹1,240.05","₹22,140",
Indian Bank,,₹174.55-0.45(0.26%),₹177.75,"₹22,137",
Sundaram Finance,,"₹2,159.2561.80(2.95%)","₹2,003.45","₹22,075",
Kansai Nerolac,,₹501.451.45(0.29%),₹404.90,"₹21,820",
GMR Infrastructure,,₹34.65-0.15(0.43%),₹35.45,"₹21,397",
Dixon Technologies,,"₹3,827.30-9.50(0.25%)","₹3,578.50","₹21,235",
Navin Fluorine,,"₹4,431.45110.50(2.56%)","₹4,278.95","₹21,203",
LIC Housing Finance,,₹379.207.25(1.95%),₹382.75,"₹21,053",
Fortis Healthcare,,₹264.40-3.50(1.31%),₹276.70,"₹20,889",
Tata Tele (Maha),,₹111.852.90(2.66%),₹106.35,"₹20,790",
Hatsun Agro Prod,,"₹1,014.004.35(0.43%)",₹960.80,"₹20,711",
Poonawalla Fincorp,,₹271.90-4.55(1.65%),₹268.55,"₹20,547",
PolicyBazaar,,₹571.2521.40(3.89%),₹459.50,"₹20,431",
SKF India,,"₹4,347.5043.60(1.01%)","₹4,094.50","₹20,242",
Oil India,,₹197.809.85(5.24%),₹186.60,"₹20,235",
Endurance Tech,,"₹1,455.75-13.60(0.93%)","₹1,433.60","₹20,165",
General Insurance,,₹120.650.05(0.04%),₹114.75,"₹20,131",
Emami,,₹459.00-0.90(0.20%),₹454.30,"₹20,041",
Devyani,,₹187.302.90(1.57%),₹165.35,"₹19,920",
KPR Mill,,₹565.050.60(0.11%),₹578.15,"₹19,761",
Bank of India,,₹48.750.00(0.00%),₹48.00,"₹19,697",
Blue Dart Express,,"₹8,859.75-6.95(0.08%)","₹8,300.95","₹19,696",
Grindwell Norton,,"₹1,962.80-22.80(1.15%)","₹1,736.15","₹19,222",
Pfizer,,"₹4,202.10-64.10(1.50%)","₹4,169.15","₹19,072",
Trident,,₹40.25-0.80(1.95%),₹37.90,"₹18,968",
JK Cement,,"₹2,621.9585.35(3.36%)","₹2,436.20","₹18,824",
Sun TV Network,,₹471.601.35(0.29%),₹474.00,"₹18,679",
Aavas Financiers,,"₹2,222.75-36.90(1.63%)","₹2,361.50","₹18,646",
BHEL,,₹51.65-1.00(1.90%),₹53.25,"₹18,541",
L&T Fin Holdings,,₹74.40-0.05(0.07%),₹74.25,"₹18,384",
Nippon Life India AM,,₹301.301.75(0.58%),₹290.45,"₹18,081",
Clean Science,,"₹1,633.854.85(0.30%)","₹1,699.25","₹18,050",
Kajaria Ceramics,,"₹1,122.70-15.45(1.36%)","₹1,125.20","₹17,913",
Dr Lal PathLabs,,"₹2,405.0046.05(1.95%)","₹2,144.50","₹17,767",
Rajesh Exports,,₹619.00-6.20(0.99%),₹589.15,"₹17,395",
Metro Brands,,₹735.30-2.30(0.31%),₹636.90,"₹17,292",
Gillette India,,"₹5,111.5571.80(1.42%)","₹5,221.10","₹17,013",
Ramco Cements,,₹756.8020.85(2.83%),₹720.00,"₹17,013",
Sundram Fasteners,,₹843.6013.70(1.65%),₹803.60,"₹16,885",
Prestige Estates,,₹432.252.75(0.64%),₹418.45,"₹16,774",
Fine Organic Inds,,"₹5,684.3515.55(0.27%)","₹5,449.70","₹16,708",
Ajanta Pharma,,"₹1,279.801.15(0.09%)","₹1,272.35","₹16,302",
ZF Commercial,,"₹8,921.85188.90(2.16%)","₹8,484.70","₹16,093",
Central Bank of India,,₹18.30-0.05(0.27%),₹17.75,"₹15,408",
CreditAccess Grameen,,₹981.30-11.60(1.17%),₹984.85,"₹15,361",
Affle (India),,"₹1,099.25-5.55(0.50%)","₹5,745.90","₹15,313",
ICICI Securities,,₹488.80-8.90(1.79%),₹473.10,"₹15,270",
TTK Prestige,,₹877.80-9.45(1.07%),"₹10,993.25","₹15,238",
Carborundum Univ,,₹844.60-19.20(2.22%),₹795.65,"₹15,107",
Godrej Industries,,₹453.155.05(1.13%),₹446.35,"₹15,025",
DCM Shriram,,"₹1,039.05-9.80(0.93%)",₹962.35,"₹14,849",
Vardhman Textiles,,₹315.85-1.25(0.39%),"₹2,569.80","₹14,846",
Alkyl Amines Chem,,"₹3,118.60-0.65(0.02%)","₹2,863.95","₹14,632",
Sanofi India,,"₹6,542.60-51.60(0.78%)","₹6,339.80","₹14,600",
K.P.R. Mill,,₹565.050.60(0.11%),"₹2,121.55","₹14,598",
KPIT Tech,,₹535.9015.65(3.01%),₹536.00,"₹14,477",
Bharat Dynamics,,₹825.30-15.25(1.81%),₹782.15,"₹14,335",
IIFL Wealth,,"₹1,657.10-1.50(0.09%)","₹1,611.50","₹14,310",
Sheela Foam,,"₹2,856.950.45(0.02%)","₹2,866.35","₹13,982",
Aptus Value,,₹295.655.55(1.91%),₹279.85,"₹13,912",
Asahi India Glass,,₹571.50-5.55(0.96%),₹572.25,"₹13,910",
IEX,,₹165.502.20(1.35%),₹154.95,"₹13,884",
Affle India,,"₹1,099.25-5.55(0.50%)","₹1,042.55","₹13,884",
Apollo Tyres,,₹230.00-2.20(0.95%),₹218.15,"₹13,854",
NALCO,,₹77.65-0.30(0.38%),₹75.35,"₹13,839",
Alembic Pharma,,₹672.65-30.30(4.31%),₹701.05,"₹13,780",
Happiest Minds Tech,,₹970.501.75(0.18%),₹963.70,"₹13,760",
Hitachi Energy,,"₹3,525.9081.50(2.37%)","₹3,226.95","₹13,676",
Campus Active,,₹413.80-11.70(2.75%),₹445.30,"₹13,564",
Natl.Stan,,"₹5,325.60-9.10(0.17%)","₹6,774.35","₹13,549",
UCO Bank,,₹11.85-0.30(2.47%),₹11.30,"₹13,510",
JBCPL,,"₹1,852.8037.55(2.07%)","₹1,733.55","₹13,397",
IIFL Finance,,₹332.00-1.35(0.40%),₹352.45,"₹13,383",
New India Assurance,,₹89.950.15(0.17%),₹81.15,"₹13,373",
Chambal Fertilisers,,₹321.701.50(0.47%),₹321.35,"₹13,371",
Narayana Hrudayalaya,,₹634.20-5.70(0.89%),₹658.75,"₹13,369",
Exide Industries,,₹156.40-0.10(0.06%),₹156.00,"₹13,260",
Shriram City Fin,,"₹1,956.30-3.70(0.19%)","₹1,980.35","₹13,209",
Century Plyboard,,₹634.3011.05(1.77%),₹591.65,"₹13,144",
Mangalore Refinery,,₹71.90-0.55(0.76%),₹74.60,"₹13,074",
GSPL,,₹235.55-2.85(1.20%),₹230.50,"₹13,005",
IRB Infra Devs,,₹250.756.70(2.75%),₹213.45,"₹12,890",
Radico Khaitan,,₹921.500.40(0.04%),₹962.40,"₹12,864",
Bajaj Electricals,,"₹1,131.05-10.90(0.95%)","₹1,113.80","₹12,798",
Indiamart Inter,,"₹4,573.6087.10(1.94%)","₹4,158.20","₹12,638",
PVR,,"₹2,110.85-40.75(1.89%)","₹2,043.95","₹12,482",
Natco Pharma,,₹749.80-0.70(0.09%),₹680.80,"₹12,428",
TTK Prestige,,₹877.80-9.45(1.07%),₹894.75,"₹12,402",
GR Infraprojects,,"₹1,314.55-5.30(0.40%)","₹1,278.25","₹12,359",
Capri Global Capital,,₹694.10-5.80(0.83%),₹699.75,"₹12,297",
Aditya Birla Sun,,₹431.905.15(1.21%),₹425.15,"₹12,244",
KIOCL,,₹198.00-1.40(0.70%),₹199.95,"₹12,151",
KEC International,,₹424.00-20.00(4.50%),₹471.50,"₹12,121",
Suven Pharma,,₹466.55-1.25(0.27%),₹470.25,"₹11,970",
Cholamandalam Fin,,₹659.00-3.15(0.48%),₹635.50,"₹11,931",
City Union Bank,,₹161.051.20(0.75%),₹161.15,"₹11,918",
CAMS,,"₹2,368.05-74.65(3.06%)","₹2,433.65","₹11,908",
Ratnamani Metals,,"₹1,735.35-43.80(2.46%)","₹1,679.15","₹11,769",
Nuvoco Vistas,,₹339.20-0.05(0.01%),₹328.40,"₹11,729",
Elgi Equipments,,₹426.554.55(1.08%),₹370.15,"₹11,708",
CESC,,₹79.65-0.25(0.31%),₹880.65,"₹11,674",
CDSL,,"₹1,153.1515.95(1.40%)","₹1,113.35","₹11,634",
BASF India,,"₹2,929.6015.90(0.55%)","₹2,673.55","₹11,572",
MO Financial,,₹760.40-0.30(0.04%),₹775.90,"₹11,565",
Angel One,,"₹1,270.6017.40(1.39%)","₹1,365.85","₹11,379",
Bank of Maharashtra,,₹17.30-0.05(0.29%),₹16.75,"₹11,273",
Brigade Enterprise,,₹514.75-0.60(0.12%),₹488.35,"₹11,252",
KEI Industries,,"₹1,400.1510.90(0.78%)","₹1,247.10","₹11,237",
